AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/4/2019,,,,34.4
2/4/2019,,,,23.0
3/4/2019,,,,6.5
4/4/2019,,,,0.0
5/4/2019,,,,0.0
6/4/2019,,,,0.0
7/4/2019,,,,0.2
8/4/2019,,,,0.0
9/4/2019,,,,0.0
10/4/2019,,,,2.7
11/4/2019,,,,0.6
12/4/2019,,,,12.7
13/4/2019,,,,0.0
14/4/2019,,,,0.0
15/4/2019,,,,2.1
16/4/2019,,,,0.0
17/4/2019,,,,0.0
18/4/2019,,,,0.0
19/4/2019,,,,0.1
20/4/2019,,,,3.7
21/4/2019,,,,1.8
22/4/2019,,,,0.0
23/4/2019,,,,2.1
24/4/2019,,,,3.6
25/4/2019,,,,0.0
26/4/2019,,,,0.0
27/4/2019,,,,0.0
28/4/2019,,,,0.0
29/4/2019,,,,4.0
30/4/2019,,,,0.0
