AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/8/2019,,,,0.0
2/8/2019,,,,0.0
3/8/2019,,,,0.0
4/8/2019,,,,0.0
5/8/2019,,,,0.0
6/8/2019,,,,0.0
7/8/2019,,,,0.0
8/8/2019,,,,0.0
9/8/2019,,,,0.0
10/8/2019,,,,0.0
11/8/2019,,,,0.0
12/8/2019,,,,0.0
13/8/2019,,,,0.0
14/8/2019,,,,0.0
15/8/2019,,,,0.0
16/8/2019,,,,0.0
17/8/2019,,,,0.0
18/8/2019,,,,0.0
19/8/2019,,,,1.0
20/8/2019,,,,0.6
21/8/2019,,,,0.2
22/8/2019,,,,0.0
23/8/2019,,,,0.0
24/8/2019,,,,0.0
25/8/2019,,,,0.4
26/8/2019,,,,0.0
27/8/2019,,,,0.0
28/8/2019,,,,0.0
29/8/2019,,,,0.0
30/8/2019,,,,0.0
31/8/2019,,,,0.0
