AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/12/2019,,,,2.0
2/12/2019,,,,0.0
3/12/2019,,,,0.0
4/12/2019,,,,14.2
5/12/2019,,,,6.6
6/12/2019,,,,0.0
7/12/2019,,,,1.8
8/12/2019,,,,0.4
9/12/2019,,,,1.0
10/12/2019,,,,0.0
11/12/2019,,,,0.0
12/12/2019,,,,0.0
13/12/2019,,,,0.0
14/12/2019,,,,0.0
15/12/2019,,,,0.0
16/12/2019,,,,0.0
17/12/2019,,,,2.2
18/12/2019,,,,4.0
19/12/2019,,,,1.2
20/12/2019,,,,0.7
21/12/2019,,,,0.0
22/12/2019,,,,0.0
23/12/2019,,,,1.5
24/12/2019,,,,0.0
25/12/2019,,,,0.2
26/12/2019,,,,0.1
27/12/2019,,,,25.3
28/12/2019,,,,6.0
29/12/2019,,,,8.3
30/12/2019,,,,1.7
31/12/2019,,,,0.0
