AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/1/2019,,,,0.0
2/1/2019,,,,0.0
3/1/2019,,,,0.0
4/1/2019,,,,0.0
5/1/2019,,,,0.1
6/1/2019,,,,0.8
7/1/2019,,,,0.0
8/1/2019,,,,0.0
9/1/2019,,,,0.0
10/1/2019,,,,0.0
11/1/2019,,,,0.0
12/1/2019,,,,0.0
13/1/2019,,,,0.0
14/1/2019,,,,0.0
15/1/2019,,,,0.9
16/1/2019,,,,0.0
17/1/2019,,,,0.3
18/1/2019,,,,0.2
19/1/2019,,,,0.0
20/1/2019,,,,0.0
21/1/2019,,,,0.0
22/1/2019,,,,0.0
23/1/2019,,,,0.0
24/1/2019,,,,0.0
25/1/2019,,,,0.0
26/1/2019,,,,0.0
27/1/2019,,,,0.0
28/1/2019,,,,14.5
29/1/2019,,,,7.9
30/1/2019,,,,0.0
31/1/2019,,,,0.0
