AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/2/2019,,,,1.1
2/2/2019,,,,1.7
3/2/2019,,,,0.5
4/2/2019,,,,0.4
5/2/2019,,,,0.0
6/2/2019,,,,11.7
7/2/2019,,,,10.0
8/2/2019,,,,0.0
9/2/2019,,,,8.7
10/2/2019,,,,0.0
11/2/2019,,,,1.4
12/2/2019,,,,0.7
13/2/2019,,,,0.0
14/2/2019,,,,0.8
15/2/2019,,,,0.9
16/2/2019,,,,0.0
17/2/2019,,,,0.0
18/2/2019,,,,0.0
19/2/2019,,,,26.6
20/2/2019,,,,0.0
21/2/2019,,,,0.2
22/2/2019,,,,0.2
23/2/2019,,,,0.0
24/2/2019,,,,11.4
25/2/2019,,,,3.9
26/2/2019,,,,6.2
27/2/2019,,,,0.0
28/2/2019,,,,0.0
