AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/7/2019,,,,0.0
2/7/2019,,,,0.0
3/7/2019,,,,0.0
4/7/2019,,,,3.5
5/7/2019,,,,0.0
6/7/2019,,,,0.0
7/7/2019,,,,0.1
8/7/2019,,,,0.0
9/7/2019,,,,0.0
10/7/2019,,,,0.0
11/7/2019,,,,0.0
12/7/2019,,,,3.6
13/7/2019,,,,1.2
14/7/2019,,,,20.0
15/7/2019,,,,1.8
16/7/2019,,,,0.0
17/7/2019,,,,0.0
18/7/2019,,,,0.4
19/7/2019,,,,0.6
20/7/2019,,,,2.3
21/7/2019,,,,0.1
22/7/2019,,,,3.8
23/7/2019,,,,0.0
24/7/2019,,,,0.0
25/7/2019,,,,0.0
26/7/2019,,,,0.1
27/7/2019,,,,0.4
28/7/2019,,,,0.0
29/7/2019,,,,0.0
30/7/2019,,,,0.0
31/7/2019,,,,0.0
