AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/6/2019,,,,0.0
2/6/2019,,,,0.0
3/6/2019,,,,0.9
4/6/2019,,,,0.0
5/6/2019,,,,0.0
6/6/2019,,,,0.0
7/6/2019,,,,0.0
8/6/2019,,,,0.0
9/6/2019,,,,0.0
10/6/2019,,,,0.0
11/6/2019,,,,0.0
12/6/2019,,,,0.0
13/6/2019,,,,0.0
14/6/2019,,,,0.0
15/6/2019,,,,0.8
16/6/2019,,,,0.1
17/6/2019,,,,0.0
18/6/2019,,,,0.0
19/6/2019,,,,0.0
20/6/2019,,,,0.0
21/6/2019,,,,0.0
22/6/2019,,,,0.0
23/6/2019,,,,0.0
24/6/2019,,,,0.0
25/6/2019,,,,0.0
26/6/2019,,,,0.4
27/6/2019,,,,0.0
28/6/2019,,,,0.0
29/6/2019,,,,0.0
30/6/2019,,,,0.0
