AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/3/2019,,,,2.5
2/3/2019,,,,0.0
3/3/2019,,,,0.8
4/3/2019,,,,0.0
5/3/2019,,,,0.3
6/3/2019,,,,0.3
7/3/2019,,,,0.0
8/3/2019,,,,0.0
9/3/2019,,,,0.0
10/3/2019,,,,0.0
11/3/2019,,,,0.2
12/3/2019,,,,0.0
13/3/2019,,,,1.3
14/3/2019,,,,0.5
15/3/2019,,,,0.0
16/3/2019,,,,1.1
17/3/2019,,,,3.0
18/3/2019,,,,1.1
19/3/2019,,,,20.8
20/3/2019,,,,17.6
21/3/2019,,,,41.3
22/3/2019,,,,0.0
23/3/2019,,,,0.0
24/3/2019,,,,0.4
25/3/2019,,,,0.0
26/3/2019,,,,0.0
27/3/2019,,,,0.0
28/3/2019,,,,0.0
29/3/2019,,,,0.0
30/3/2019,,,,0.0
31/3/2019,,,,0.0
