AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/11/2019,,,,30.9
2/11/2019,,,,3.7
3/11/2019,,,,16.1
4/11/2019,,,,1.4
5/11/2019,,,,3.4
6/11/2019,,,,5.3
7/11/2019,,,,0.1
8/11/2019,,,,0.0
9/11/2019,,,,1.6
10/11/2019,,,,36.0
11/11/2019,,,,0.0
12/11/2019,,,,0.0
13/11/2019,,,,0.0
14/11/2019,,,,0.0
15/11/2019,,,,0.0
16/11/2019,,,,0.0
17/11/2019,,,,0.0
18/11/2019,,,,0.0
19/11/2019,,,,1.0
20/11/2019,,,,0.0
21/11/2019,,,,2.3
22/11/2019,,,,0.0
23/11/2019,,,,0.0
24/11/2019,,,,1.2
25/11/2019,,,,0.0
26/11/2019,,,,0.1
27/11/2019,,,,6.1
28/11/2019,,,,0.0
29/11/2019,,,,4.8
30/11/2019,,,,0.0
