AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/10/2019,,,,0.0
2/10/2019,,,,0.0
3/10/2019,,,,2.4
4/10/2019,,,,0.2
5/10/2019,,,,18.5
6/10/2019,,,,30.0
7/10/2019,,,,0.6
8/10/2019,,,,3.6
9/10/2019,,,,0.0
10/10/2019,,,,0.0
11/10/2019,,,,0.0
12/10/2019,,,,0.0
13/10/2019,,,,0.0
14/10/2019,,,,0.0
15/10/2019,,,,0.4
16/10/2019,,,,1.3
17/10/2019,,,,0.6
18/10/2019,,,,6.8
19/10/2019,,,,47.5
20/10/2019,,,,0.0
21/10/2019,,,,0.0
22/10/2019,,,,15.2
23/10/2019,,,,0.8
24/10/2019,,,,0.0
25/10/2019,,,,0.0
26/10/2019,,,,0.0
27/10/2019,,,,0.0
28/10/2019,,,,0.7
29/10/2019,,,,0.0
30/10/2019,,,,0.0
31/10/2019,,,,0.7
