AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/9/2019,,,,0.0
2/9/2019,,,,0.0
3/9/2019,,,,0.0
4/9/2019,,,,0.0
5/9/2019,,,,0.0
6/9/2019,,,,0.2
7/9/2019,,,,0.0
8/9/2019,,,,0.0
9/9/2019,,,,0.0
10/9/2019,,,,0.0
11/9/2019,,,,0.2
12/9/2019,,,,0.0
13/9/2019,,,,0.0
14/9/2019,,,,0.0
15/9/2019,,,,0.0
16/9/2019,,,,0.0
17/9/2019,,,,0.0
18/9/2019,,,,0.0
19/9/2019,,,,0.0
20/9/2019,,,,0.4
21/9/2019,,,,0.6
22/9/2019,,,,0.0
23/9/2019,,,,0.0
24/9/2019,,,,0.0
25/9/2019,,,,0.0
26/9/2019,,,,0.0
27/9/2019,,,,0.0
28/9/2019,,,,0.0
29/9/2019,,,,7.9
30/9/2019,,,,0.0
